,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
3709,OTM,2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710,OTM,2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3711,OTM,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,OTM,2014-05-14,31.45,43.74,3.86,20.25,-20.84,766.67,122.22,-21.66,377.92,45.74,,-19.57,,-19.57,,-18.81,-19.1,46.89,740.14,38.73,,,-35.07,91.89,62.42,32.35,3455.92,1985.98,211.68,,64.93,139.58,50.0,,233.61,,11.99,37.65,-34.22,,84.14,27.14,4.27,-20.55,,64.93,-698.91,67.62,-45.91,45.91,-154.39,,,-6205.36
3713,OTM,2015-05-07,25.36,36.57,14.26,79.88,-74.92,108.05,98.57,-73.81,2226.32,-7.72,,-26.64,,-26.64,,-44.23,-44.61,102.06,826.01,54.67,,,-23.83,35.11,51.74,23.34,898.94,766.23,-57.25,,76.15,130.48,50.0,,175.66,,27.65,46.74,-2.0,,413.58,32.91,32.99,14.74,,76.15,21.28,71.44,-678.39,682.52,1205.04,,,-3459.11
3714,OTM,2016-05-11,40.5,49.76,23.93,111.31,-31.82,-54.05,264.91,-38.44,-415.81,109.49,,-93.42,,-93.42,,-86.15,-86.58,168.45,1482.12,146.17,,,821.17,-5.83,134.41,60.23,-96.28,-96.3,845.45,,66.55,5.57,0.0,,11.24,,130.57,104.65,675.92,,81.2,546.04,181.58,175.9,,66.55,278.76,115.32,-595.91,191382.6,-38.85,-100.0,,-103.86
3715,OTM,2017-04-18,76.79,43.98,169.68,191.85,363.78,300.65,983.7,240.49,-252.32,893.18,,197.68,,197.68,,171.35,124.4,102.47,367.9,85.28,,0.0,600.0,-0.33,87.58,42.39,-95.19,-92.92,108.04,,51.96,7.54,0.0,,10.9,2110.26,96.22,81.93,238.45,,63.98,257.18,110.04,88.25,,51.96,1006.78,51.87,47.65,-75.76,44.8,,,99.82
3716,OTM,2018-04-09,64.74,51.57,183.67,85.33,41.88,1617.31,203.33,63.82,-49.46,151.46,,31.79,,31.79,,47.01,26.11,95.75,347.35,83.69,,-99.68,466.31,25.88,109.96,60.23,-80.39,-66.57,121.34,,63.17,7.9,0.0,,10.55,2163.36,92.05,96.11,356.28,,11.42,225.73,170.48,262.2,,63.17,67.43,82.25,59.15,155.28,452.45,,,148.54
3717,OTM,2019-04-10,70.57,73.22,47.78,100.3,-30.63,465.19,716.55,-46.42,-103.22,310.7,,-136.23,,-136.23,,-162.56,-109.48,35.65,352.9,55.45,,-99.98,483.11,59.28,107.99,55.67,-43.74,-35.12,141.67,,42.67,6.58,0.0,,5.0,1999.82,64.03,39.95,249.59,,-54.02,201.92,89.57,106.27,,42.67,-115.7,87.43,96.1,-123.89,-102.41,,,75.83
3718,OTM,2020-05-15,45.4,37.96,84.18,105.95,29.18,1659.43,1855.29,35.9,125.22,10.45,,801.89,,801.89,,263.03,335.17,1.58,56.7,-2.6,,7416.67,-32.59,4.06,3.08,2.0,186.85,141.91,-83.03,,2.4,7.72,0.0,,4.68,-18.68,-12.63,-2.93,22.62,,152.59,-20.79,8.05,2.43,,2.4,33.89,93.15,97.52,-97.2,-127.63,,,209.29
